photoID,label,sex,ethnicity,word,method
1,anger,female,bipoc,anger,survey
2,anger,male,bipoc,anger,survey
3,anger,female,white,anger,survey
4,anger,male,white,anger,survey
5,disust,female,bipoc,confused,survey
6,disust,male,bipoc,disgust,survey
7,disust,female,white,disgust,survey
8,disust,male,white,confused,survey
9,fear,female,bipoc,scared,survey
10,fear,male,bipoc,disgust,survey
11,fear,female,white,scared,survey
12,fear,male,white,shock,survey
13,happiness,female,bipoc,happiness,survey
14,happiness,male,bipoc,happiness,survey
15,happiness,female,white,happiness,survey
16,happiness,male,white,happiness,survey
17,sadness,female,bipoc,sadness,survey
18,sadness,male,bipoc,sadness,survey
19,sadness,female,white,sadness,survey
20,sadness,male,white,sadness,survey
21,surprise,female,bipoc,happiness,survey
22,surprise,male,bipoc,confusion,survey
23,surprise,female,white,silly,survey
24,surprise,male,white,surprise,survey
1,anger,female,bipoc,frustrated,dueling.bandits
2,anger,male,bipoc,yelling,dueling.bandits
3,anger,female,white,pissed,dueling.bandits
4,anger,male,white,stern,dueling.bandits
5,disust,female,bipoc,sour,dueling.bandits
6,disust,male,bipoc,disgust,dueling.bandits
7,disust,female,white,gross,dueling.bandits
8,disust,male,white,questioning,dueling.bandits
9,fear,female,bipoc,disgust,dueling.bandits
10,fear,male,bipoc,distraught,dueling.bandits
11,fear,female,white,distraught,dueling.bandits
12,fear,male,white,nervous,dueling.bandits
13,happiness,female,bipoc,proud,dueling.bandits
14,happiness,male,bipoc,funny,dueling.bandits
15,happiness,female,white,satisfied,dueling.bandits
16,happiness,male,white,well,dueling.bandits
17,sadness,female,bipoc,upset,dueling.bandits
18,sadness,male,bipoc,distressed,dueling.bandits
19,sadness,female,white,distressed,dueling.bandits
20,sadness,male,white,sadness,dueling.bandits
21,surprise,female,bipoc,uncomfortable,dueling.bandits
22,surprise,male,bipoc,disbelief,dueling.bandits
23,surprise,female,white,shock,dueling.bandits
24,surprise,male,white,disbelief,dueling.bandits
